Product Id,Product Handle,Product Title,Product Status,Product Description,Product Subtitle,Product External Id,Product Thumbnail,Product Collection Id,Product Type Id,Product Created At,Product Deleted At,Product Discountable,Product Height,Product Hs Code,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Is Giftcard,Product Length,Product Material,Product Mid Code,Product Origin Country,Product Sales Channel 1,Product Updated At,Product Weight,Product Width,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EUR,Variant Price Europe [EUR],Variant Price RUB,Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01JK82P2FDB755E6H5FKYZ578F,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-02-04T08:54:29.088Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JK82NS5CP9B5XNAHXJKST0M8,2025-02-04T08:54:29.088Z,400,,variant_01JK82P2JTFFTFY6DZNVSHG1X9,S,SHORTS-S,,,,,true,false,,2025-02-04T08:54:29.212Z,,,,,,Size,S,,,,10,,,15,prod_01JK82P2FDB755E6H5FKYZ578F,2025-02-04T08:54:29.212Z,0,,
prod_01JK82P2FDB755E6H5FKYZ578F,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-02-04T08:54:29.088Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JK82NS5CP9B5XNAHXJKST0M8,2025-02-04T08:54:29.088Z,400,,variant_01JK82P2JTRNW1JXM7XMN1XX3C,M,SHORTS-M,,,,,true,false,,2025-02-04T08:54:29.212Z,,,,,,Size,M,,,,10,,,15,prod_01JK82P2FDB755E6H5FKYZ578F,2025-02-04T08:54:29.212Z,0,,
prod_01JK82P2FDB755E6H5FKYZ578F,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-02-04T08:54:29.088Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JK82NS5CP9B5XNAHXJKST0M8,2025-02-04T08:54:29.088Z,400,,variant_01JK82P2JTTG24Z03S60577NSE,L,SHORTS-L,,,,,true,false,,2025-02-04T08:54:29.212Z,,,,,,Size,L,,,,10,,,15,prod_01JK82P2FDB755E6H5FKYZ578F,2025-02-04T08:54:29.212Z,0,,
prod_01JK82P2FDB755E6H5FKYZ578F,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-02-04T08:54:29.088Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JK82NS5CP9B5XNAHXJKST0M8,2025-02-04T08:54:29.088Z,400,,variant_01JK82P2JTQ482PBKW4X042M9R,XL,SHORTS-XL,,,,,true,false,,2025-02-04T08:54:29.212Z,,,,,,Size,XL,,,,10,,,15,prod_01JK82P2FDB755E6H5FKYZ578F,2025-02-04T08:54:29.212Z,0,,
prod_01JK82P2FDD349R82K8YFHAJS6,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-04T08:54:29.088Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JK82NS5CP9B5XNAHXJKST0M8,2025-02-04T08:54:29.088Z,400,,variant_01JK82P2JQ1SQ9YS3MN9EKKW54,S / Black,SHIRT-S-BLACK,,,,,true,false,,2025-02-04T08:54:29.211Z,,,,,,Size,S,Color,Black,,10,,,15,prod_01JK82P2FDD349R82K8YFHAJS6,2025-02-04T08:54:29.211Z,0,,
prod_01JK82P2FDD349R82K8YFHAJS6,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-04T08:54:29.088Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JK82NS5CP9B5XNAHXJKST0M8,2025-02-04T08:54:29.088Z,400,,variant_01JK82P2JRZR0HX7ZMC5PHNB98,S / White,SHIRT-S-WHITE,,,,,true,false,,2025-02-04T08:54:29.211Z,,,,,,Size,S,Color,White,,10,,,15,prod_01JK82P2FDD349R82K8YFHAJS6,2025-02-04T08:54:29.211Z,0,,
prod_01JK82P2FDD349R82K8YFHAJS6,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-04T08:54:29.088Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JK82NS5CP9B5XNAHXJKST0M8,2025-02-04T08:54:29.088Z,400,,variant_01JK82P2JRE8D2BG8DP753GWJY,M / Black,SHIRT-M-BLACK,,,,,true,false,,2025-02-04T08:54:29.211Z,,,,,,Size,M,Color,Black,,10,,,15,prod_01JK82P2FDD349R82K8YFHAJS6,2025-02-04T08:54:29.211Z,0,,
prod_01JK82P2FDD349R82K8YFHAJS6,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-04T08:54:29.088Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JK82NS5CP9B5XNAHXJKST0M8,2025-02-04T08:54:29.088Z,400,,variant_01JK82P2JRRZPNQ6FNWP13FBMV,M / White,SHIRT-M-WHITE,,,,,true,false,,2025-02-04T08:54:29.211Z,,,,,,Size,M,Color,White,,10,,,15,prod_01JK82P2FDD349R82K8YFHAJS6,2025-02-04T08:54:29.211Z,0,,
prod_01JK82P2FDD349R82K8YFHAJS6,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-04T08:54:29.088Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JK82NS5CP9B5XNAHXJKST0M8,2025-02-04T08:54:29.088Z,400,,variant_01JK82P2JRRCJZHHT7P3C398MR,L / Black,SHIRT-L-BLACK,,,,,true,false,,2025-02-04T08:54:29.211Z,,,,,,Size,L,Color,Black,,10,,,15,prod_01JK82P2FDD349R82K8YFHAJS6,2025-02-04T08:54:29.211Z,0,,
prod_01JK82P2FDD349R82K8YFHAJS6,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-04T08:54:29.088Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JK82NS5CP9B5XNAHXJKST0M8,2025-02-04T08:54:29.088Z,400,,variant_01JK82P2JRS218QE2T4XG1WJHT,L / White,SHIRT-L-WHITE,,,,,true,false,,2025-02-04T08:54:29.211Z,,,,,,Size,L,Color,White,,10,,,15,prod_01JK82P2FDD349R82K8YFHAJS6,2025-02-04T08:54:29.211Z,0,,
